videoid;titulo;data;dia_semana;intervalo;duracao;views;curtidas;nao_curtidas;comentarios
211;UNBOXING MIXTURE BOX | CAIXA SURPRESA... E EU CONFUNDINDO TUDO!!;13/01/2018;Sábado;1;08:16;48360;6984;43;262
212;RAIO NEGRO DC - ORIGEM | ESTREIA NETFLIX - SÉRIE;16/01/2018;Terça-Feira;3;11:07;147165;20249;89;793
213;O HOMEM-ARANHA VAI APARECER NO FILME DO VENOM?;18/01/2018;Quinta-Feira;2;06:55;73988;12315;47;572
214;GUERRA INFINITA | IMAGENS DOS BASTIDORES PODEM NÃO SER DE VIAGENS NO TEMPO (TEORIA);19/01/2018;Sexta-Feira;1;07:31;184768;25901;702;957
215;GUERRA INFINITA | CAPITÃO AMÉRICA SERÁ O NÔMADE? ALIÁS, QUEM É O NÔMADE? (ORIGEM);20/01/2018;Sábado;1;07:05;191153;25954;117;591
216;THE FLASH SÉRIE | Temporada 04 Episódio 10;22/01/2018;Segunda-Feira;2;10:32;26648;5502;14;222
217;MOBY DICK | QUADRINHO PIPOCA E NANQUIM;23/01/2018;Terça-Feira;1;09:45;46685;7872;37;289
218;THE FLASH SÉRIE | Temporada 04 Episódio 11;24/01/2018;Quarta-Feira;1;07:37;24810;4853;20;243
219;CÍRCULO DE FOGO 2 | TRAILER 2 - DETALHES QUE VOCÊ DEIXOU PASSAR!;25/01/2018;Quinta-Feira;1;11:52;137431;17644;125;747
220;COME TOGETHER - The Beatles (TEMA DE LIGA DA JUSTIÇA) | versão Gustavo Cunha / Thiago Marques;28/01/2018;Domingo;3;02:44;85141;16329;104;1408
221;CAPITÃ MARVEL - UNIFORME VERDE | QUE UNIFORME É ESSE? - Jujuba ATÔMICA;29/01/2018;Segunda-Feira;1;08:42;244262;28428;121;847
222;PANTERA NEGRA - OS PODERES DO NOVO TRAJE | O TRAJE DO VILÃO;30/01/2018;Terça-Feira;1;08:17;118098;18344;87;462
223;HOMEM FORMIGA E VESPA TRAILER | DETALHES QUE VOCÊ NÃO PERCEBEU | LINHA DO TEMPO MARVEL;31/01/2018;Quarta-Feira;1;10:57;130969;20068;86;617
224;THE FLASH SÉRIE | Temporada 04 Episódio 12;02/02/2018;Sexta-Feira;2;09:03;26664;4958;16;245
225;A FORMA DA ÁGUA (SEM SPOILERS) | VENCEDOR DO OSCAR 2018 - Jujuba ATÔMICA;03/02/2018;Sábado;1;09:34;52742;8765;50;311
226;TUDO SOBRE THE WALKING DEAD | UM LIVRO PARA FÃS E PARA NÃO INICIADOS! - Jujuba ATÔMICA;04/02/2018;Domingo;1;07:51;23147;4453;21;228
227;VINGADORES GUERRA INFINITA 2018 | TRAILER SUPER BOWL (DETALHES E CURIOSIDADES) - Jujuba ATÔMICA;05/02/2018;Segunda-Feira;1;11:06;141121;23267;88;911
228;HAN SOLO - STAR WARS 2018 TRAILER | DETALHES QUE VOCÊ NÃO PERCEBEU - Jujuba ATÔMICA;07/02/2018;Quarta-Feira;2;12:20;30582;5466;22;235
229;DEADPOOL 2 TRAILER | DETALHES QUE VOCÊ PERDEU! - Jujuba ATÔMICA;08/02/2018;Quinta-Feira;1;11:33;141075;20350;65;551
230;VENOM 2018 (TEASER) | DETALHES QUE VOCÊ DEIXOU ESCAPAR! - Jujuba ATÔMICA;08/02/2018;Quinta-Feira;0;08:57;144879;19171;116;702
231;THE FLASH SÉRIE | Temporada 04 Episódio 13 - Jujuba ATÔMICA;10/02/2018;Sábado;2;08:11;24770;4434;13;186
232;CLOVERFIELD PARADOX EXPLICADO | COMO ELE SE CONECTA COM OS OUTROS FILMES? - NETFLIX - Jujuba ATÔMICA;11/02/2018;Domingo;1;11:00;96887;13176;62;728
233;UNIFORME PRETO DO SUPERMAN | O QUE A CENA DELETADA REVELA SOBRE A VERSÃO DE ZACK SNYDER;12/02/2018;Segunda-Feira;1;08:46;83719;14415;57;857
234;A NOVA ARMA DO THOR E A ORIGEM DE BILL RAIO BETA | VINGADORES - GUERRA INFINITA;13/02/2018;Terça-Feira;1;09:38;231671;31418;159;906
235;STAR TREK DISCOVERY | REVIEW DA PRIMEIRA TEMPORADA - NETFLIX - Jujuba ATÔMICA;14/02/2018;Quarta-Feira;1;11:53;33520;5333;43;427
236;PANTERA NEGRA FILME 2018 | REVIEW SEM SPOILERS - Jujuba ATÔMICA;16/02/2018;Sexta-Feira;2;10:19;90969;15698;60;790
237;UNBOXING MIXTURE BOX (NOSTALGIA JANEIRO 2018) | ALF / A HISTÓRIA SEM FIM / MAcGYVER - Jujuba ATÔMICA;17/02/2018;Sábado;1;07:58;35455;5358;22;268
238;TRANSFORMERS | REBOOT DEPOIS DO FILME DO BUMBLEBEE? - Jujuba ATÔMICA;19/02/2018;Segunda-Feira;2;07:50;124009;16578;98;948
239;PANTERA NEGRA | CENA PÓS-CRÉDITOS EXPLICADA - Jujuba ATÔMICA;20/02/2018;Terça-Feira;1;07:41;290833;23237;246;460
240;QUAIS JOIAS DO INFINITO ESTÃO COM THANOS (E A JOIA DA ALMA?) | VINGADORES - GUERRA INFINITA;21/02/2018;Quarta-Feira;1;08:07;106860;16445;78;778
241;SHURI NO LUGAR DO HOMEM DE FERRO? | VINGADORES - GUERRA INFINITA - Jujuba ATÔMICA;23/02/2018;Sexta-Feira;2;08:22;184830;20648;209;990
242;SUPERMAN ENTRE A FOICE E O MARTELO | REVIEW - Jujuba ATÔMICA;26/02/2018;Segunda-Feira;3;07:56;90752;15911;117;1106
243;PANTERA NEGRA | O QUE MUDOU DOS QUADRINHOS PARA O CINEMA? - Jujuba ATÔMICA;28/02/2018;Quarta-Feira;2;08:32;75335;11695;22;212
244;THE FLASH | TEMPORADA 04 - EPISÓDIO 14 - Jujuba ATÔMICA;01/03/2018;Quinta-Feira;1;08:14;23507;4118;20;200
245;MARVEL CONFIRMA A EXISTÊNCIA DA JOIA DA ALMA E O CAVEIRA VERMELHA PODE VOLTAR!;02/03/2018;Sexta-Feira;1;07:06;227634;25307;151;970
246;JESSICA JONES - ORIGEM | Jujuba ATÔMICA;05/03/2018;Segunda-Feira;3;05:45;63841;9361;35;230
247;HULK VAI ESTAR DENTRO DA HULKBUSTER? POR QUÊ? - VINGADORES GUERRA INFINITA 2018 - Jujuba ATÔMICA;06/03/2018;Terça-Feira;1;06:58;335784;28934;454;891
248;PERDIDOS NO ESPAÇO TRAILER OFICIAL NETFLIX MOSTRA VÁRIAS MUDANÇAS INTERESSANTES;07/03/2018;Quarta-Feira;1;06:02;96353;8929;91;410
249;THE FLASH | TEMPORADA 04 - EPISÓDIO 15 - Jujuba ATÔMICA;08/03/2018;Quinta-Feira;1;07:16;25966;4382;19;256
250;POR QUE O FILME DA CAPITÃ MARVEL VAI SE PASSAR NOS ANOS 90? - Jujuba ATÔMICA;10/03/2018;Sábado;2;07:04;472874;32863;261;793
251;MARVEL REVELA OS PLANOS DE THANOS EM GUERRA INFINITA 2018 - Jujuba ATÔMICA;12/03/2018;Segunda-Feira;2;06:25;218665;23134;153;611
252;OS CELESTIAIS PODEM APARECER EM GUERRA INFINITA 2018? - Jujuba ATÔMICA;13/03/2018;Terça-Feira;1;06:35;443497;37238;399;1210
253;THE FLASH | TEMPORADA 04 - EPISÓDIO 16 - Jujuba ATÔMICA;15/03/2018;Quinta-Feira;2;08:31;28096;4281;24;279
254;VINGADORES GUERRA INFINITA TRAILER 2 OFICIAL (REVIEW) - Jujuba ATÔMICA;17/03/2018;Sábado;2;14:58;191400;28128;112;1822
255;JOGADOR NÚMERO 1 | POR QUE VOCÊ DEVE LER ESSE LIVRO! - Jujuba ATÔMICA;21/03/2018;Quarta-Feira;4;09:58;70573;10071;40;484
256;CÍRCULO DE FOGO 2 - A REVOLTA | SEM SPOILERS - Jujuba ATÔMICA;22/03/2018;Quinta-Feira;1;07:28;88464;13318;96;545
257;DEADPOOL 2 TRAILER 2 | TODOS OS DETALHES QUE VOCÊ DEIXOU PASSAR! - Jujuba ATÔMICA;25/03/2018;Domingo;3;11:37;71580;12206;48;397
258;JOGADOR NÚMERO 1 | EYE OF THE TIGER - PLAYLIST OFICIAL SPOTIFY;27/03/2018;Terça-Feira;2;03:22;52793;9192;49;921
259;DEADPOOL 2 | X-FORCE (ORIGEM) - Jujuba ATÔMICA;29/03/2018;Quinta-Feira;2;07:49;151991;18818;86;398
260;JOGADOR NÚMERO 1 | SEM SPOILERS - Jujuba ATÔMICA;30/03/2018;Sexta-Feira;1;10:21;66755;10938;50;467
261;MIXTURE BOX CAIXA 18 (TEMA: OBSCURO) - Jujuba ATÔMICA;02/04/2018;Segunda-Feira;3;05:57;34868;5335;44;222
262;CADÊ O GAVIÃO ARQUEIRO? | VINGADORES GUERRA INFINITA - Jujuba ATÔMICA;04/04/2018;Quarta-Feira;2;07:16;153082;19301;103;874
263;ELFOS (EDITORA MYTHOS) - Jujuba ATÔMICA;06/04/2018;Sexta-Feira;2;08:00;28834;4916;16;209
264;HAN SOLO - UMA HISTÓRIA STAR WARS TRAILER 2 - DESTRINCHANDO O TRAILER | Jujuba ATÔMICA;09/04/2018;Segunda-Feira;3;12:13;21867;3986;15;162
265;O DESTINO DO CAPITÃO AMÉRICA | VINGADORES GUERRA INFINITA - Jujuba ATÔMICA;11/04/2018;Quarta-Feira;2;10:10;120110;16141;76;725
266;THE FLASH | EPISÓDIO 17 TEMPORADA 04 - Jujuba ATÔMICA;12/04/2018;Quinta-Feira;1;08:26;24709;3970;20;175
267;SEXTA-FEIRA 13 | DIA DAS BRUXAS - OS CASOS DE ED E LORRAINE WARREN - Jujuba ATÔMICA;13/04/2018;Sexta-Feira;1;11:33;31389;5808;33;330
268;NOVAS IMAGENS DE GUERRA INFINITA | OS DETALHES QUE VOCÊ NÃO PERCEBEU - Jujuba ATÔMICA;17/04/2018;Terça-Feira;4;09:11;256605;21478;171;1049
269;THANOS VAI VENCER O HULK | VINGADORES GUERRA INFINITA - Jujuba ATÔMICA;18/04/2018;Quarta-Feira;1;07:27;163694;17432;128;921
270;THE FLASH | EPISÓDIO 18 TEMPORADA 04 - Jujuba ATÔMICA;19/04/2018;Quinta-Feira;1;08:37;22600;3862;20;245
271;DEADPOOL 2 TRAILER FINAL | DETALHES QUE VOCÊ DEIXOU PASSAR - Jujuba ATÔMICA;21/04/2018;Sábado;2;11:52;69083;10400;36;413
272;MARADA - A MULHER-LOBO | Quadrinho Pipoca e Nanquim - Jujuba ATÔMICA;22/04/2018;Domingo;1;06:23;19727;3642;14;100
273;ANÚNCIO IMPORTANTE - Jujuba ATÔMICA;22/04/2018;Domingo;0;01:28;53128;12581;50;741
274;O NOVA PODE APARECER EM GUERRA INFINITA? - Jujuba ATÔMICA;23/04/2018;Segunda-Feira;1;06:52;183842;21647;119;751
275;VENOM - TRAILER | TUDO O QUE VOCÊ DEIXOU PASSAR - Jujuba ATÔMICA;24/04/2018;Terça-Feira;1;10:29;103819;16352;50;695
276;O QUE VAI ACONTECER EM VINGADORES 4? - Jujuba ATÔMICA;25/04/2018;Quarta-Feira;1;09:36;363343;26426;274;1089
277;THE FLASH | EPISÓDIO 19 TEMPORADA 04 - Jujuba ATÔMICA;26/04/2018;Quinta-Feira;1;06:08;22237;3432;18;140
278;VINGADORES GUERRA INFINITA | SEM SPOILERS - Jujuba ATÔMICA;27/04/2018;Sexta-Feira;1;09:04;118691;19636;84;1015
279;VINGADORES GUERRA INFINITA COM SPOILERS - Jujuba ATÔMICA;29/04/2018;Domingo;2;11:39;239513;35464;162;2269
280;MIXTURE BOX | CAIXA 19 (FORAS DA LEI) - Jujuba ATÔMICA;30/04/2018;Segunda-Feira;1;07:36;31297;4777;13;154
281;GUERRA INFINITA | CENA PÓS-CRÉDITOS EXPLICADA - Jujuba ATÔMICA;02/05/2018;Quarta-Feira;2;09:09;470950;32538;362;1029
282;THE FLASH | EPISÓDIO 20 TEMPORADA 04 - Jujuba ATÔMICA;03/05/2018;Quinta-Feira;1;10:27;24077;4103;20;313
283;UNBOXING NERD LOOT 31 e ANIME LOOT 9 - Jujuba ATÔMICA;04/05/2018;Sexta-Feira;1;10:37;48515;7496;47;437
284;VINGADORES GUERRA INFINITA - GAMORA | SPOILERS - Jujuba ATÔMICA;05/05/2018;Sábado;1;08:16;126583;18574;68;931
285;FUNKUBO 08 | UNBOXING - Jujuba ATÔMICA;08/05/2018;Terça-Feira;3;07:33;27102;4335;15;159
286;A GUERRA DO VELHO | LIVRO - Jujuba ATÔMICA;10/05/2018;Quinta-Feira;2;11:13;32129;5114;19;247
287;THE FLASH | EPISÓDIO 21 TEMPORADA 04 - Jujuba ATÔMICA;11/05/2018;Sexta-Feira;1;06:30;19529;3175;16;113
288;VINGADORES 4 | CONEXÃO COM HOMEM-FORMIGA- Jujuba ATÔMICA;12/05/2018;Sábado;1;07:33;114611;19399;69;605
289;"""ASHES"" | TEMA DE DEADPOOL 2";15/05/2018;Terça-Feira;3;03:21;36501;5906;59;452
290;DEADPOOL 2 SEM SPOILERS - Jujuba ATÔMICA;17/05/2018;Quinta-Feira;2;09:29;45233;8852;42;372
291;THE FLASH | EPISÓDIO 22 TEMPORADA 04 - Jujuba ATÔMICA;18/05/2018;Sexta-Feira;1;08:41;20930;3649;19;175
292;DEADPOOL 2 COM SPOILERS - Jujuba ATÔMICA;20/05/2018;Domingo;2;10:55;66640;12250;50;337
293;BATWOMAN ORIGEM | (ESTREIA NO ARROWVERSO) - Jujuba ATÔMICA;22/05/2018;Terça-Feira;2;11:04;56050;8667;36;275
294;THE FLASH | EPISÓDIO 23 TEMPORADA 04 - episódio final - último episódio;25/05/2018;Sexta-Feira;3;09:37;47354;5293;33;373
295;HAN SOLO SEM SPOILERS - Jujuba ATÔMICA;26/05/2018;Sábado;1;09:18;23857;4301;26;213
296;NERD LOOT 32 e ANIME LOOT 10 | UNBOXING - Jujuba ATÔMICA;29/05/2018;Terça-Feira;3;11:27;30569;4806;26;502
297;MIXTURE BOX CAIXA 20 | VILÕES DOS DESENHOS - Jujuba ATÔMICA;30/05/2018;Quarta-Feira;1;07:12;24929;4422;23;136
298;HELLBOY ORIGEM | GUIA DE LEITURA - Jujuba ATÔMICA;02/06/2018;Sábado;3;15:29;70133;10657;50;281
299;VINGADORES 4 - CAPITÃ MARVEL TEM PODERES PARA DERROTAR THANOS? - Jujuba ATÔMICA;05/06/2018;Terça-Feira;3;10:21;179684;19497;158;931
300;TRANSFORMERS - BUMBLEBEE TRAILER - OS DETALHES QUE VOCÊ NÃO PERCEBEU - Jujuba ATÔMICA;06/06/2018;Quarta-Feira;1;10:39;164677;16779;110;998
301;HOMEM-ARANHA NO ARANHAVERSO | TRAILER 2 - TODOS OS DETALHES QUE VOCÊ DEIXOU PASSAR - Jujuba ATÔMICA;08/06/2018;Sexta-Feira;2;12:42;106843;14079;49;446
302;NERD LOOT 33 E ANIME LOOT 11 |JUNHO 2018 - UNBOXING - Jujuba ATÔMICA;11/06/2018;Segunda-Feira;3;10:19;42998;6656;29;364
303;VINGADORES 4 - CAPITÃ MARVEL DE BRIE LARSON APARECEU NOS QUADRINHOS! - Jujuba ATÔMICA;12/06/2018;Terça-Feira;1;09:49;94279;14458;67;446
304;JURASSIC WORLD 2 - REINO AMEAÇADO | SEM SPOILERS - Jujuba ATÔMICA;16/06/2018;Sábado;4;07:25;40281;7608;45;309
305;FUNKUBO CAIXA 09 | STRANGER THINGS - Jujuba ATÔMICA;22/06/2018;Sexta-Feira;6;05:58;22038;3803;16;104
306;BLACK HAMMER - UMA HOMENAGEM AOS QUADRINHOS - Jujuba ATÔMICA;23/06/2018;Sábado;1;09:20;26691;5163;19;128
307;"MIXTUREBOX | CAIXA 21 ""PETS - BICHOS DE ESTIMAÇÃO"" - Jujuba ATÔMICA";24/06/2018;Domingo;1;06:04;25187;4615;18;144
308;SENHOR DAS ESTRELAS | PETER QUILL - ORIGEM (GUIA DE QUADRINHOS DE GUARDIÕES DA GALÁXIA);25/06/2018;Segunda-Feira;1;15:57;146978;18441;90;426
309;GAMORA - ORIGEM (GUIA DE LEITURA DE GUARDIÕES DA GALÁXIA) - Jujuba ATÔMICA;26/06/2018;Terça-Feira;1;14:50;84709;11224;60;223
310;DRAX - ORIGEM (GUIA DE LEITURA DE GUARDIÕES DA GALÁXIA) - Jujuba ATÔMICA;27/06/2018;Quarta-Feira;1;11:57;75019;10525;32;235
311;ROCKET - ORIGEM (GUIA DE LEITURA DE GUARDIÕES DA GALÁXIA) - Jujuba ATÔMICA;28/06/2018;Quinta-Feira;1;11:36;112681;14245;81;330
312;GROOT - ORIGEM (GUIA DE LEITURA DE GUARDIÕES DA GALÁXIA) - Jujuba ATÔMICA;29/06/2018;Sexta-Feira;1;10:20;96535;13116;52;314
313;OS INCRÍVEIS 2 | SEM SPOILERS - Jujuba ATÔMICA;30/06/2018;Sábado;1;08:06;37102;7500;26;235
314;HOMEM FORMIGA | ORIGEM - TODOS OS HOMENS FORMIGA DOS QUADRINHOS - Jujuba ATÔMICA;04/07/2018;Quarta-Feira;4;11:56;82499;11416;58;233
315;HOMEM-FORMIGA E VESPA | SEM SPOILERS - Jujuba ATÔMICA;06/07/2018;Sexta-Feira;2;07:58;35903;6978;27;215
316;A ORIGEM DA FANTASMA E AS DIFERENÇAS DOS QUADRINHOS (HOMEM-FORMIGA ) - Jujuba ATÔMICA;07/07/2018;Sábado;1;07:27;52081;7482;27;147
317;HOMEM-FORMIGA E VESPA CENA PÓS-CRÉDITOS (O QUE ELA SIGNIFICA PARA VINGADORES 4?);08/07/2018;Domingo;1;07:02;137302;16240;112;474
318;5 LIVROS DE TERROR QUE VIRARAM FILMES ATERRORIZANTES | SEXTA-FEIRA 13 DARKSIDE;13/07/2018;Sexta-Feira;5;15:27;28428;4913;36;183
319;TORMENTA DE FOGO | LIVRO 2 DA SÉRIE DOS EXECUTORES - BRANDON SANDERSON;14/07/2018;Sábado;1;10:49;24907;4016;9;168
320;CARRY ON MY WAYWARD SON - KANSAS (SUPERNATURAL) | versão GUSTAVO CUNHA / THIAGO MARQUES;17/07/2018;Terça-Feira;3;03:19;35233;6384;112;461
321;NERDLOOT 34 | ANIME LOOT 12 - Jujuba ATÔMICA;18/07/2018;Quarta-Feira;1;08:05;21837;3899;17;210
322;TRAILER JOVENS TITÃS | QUE ROBIN É ESSE? - Jujuba ATÔMICA;21/07/2018;Sábado;3;10:18;275394;21149;483;1740
323;TRAILER AQUAMAN | TODAS AS CENAS ANALISADAS - Jujuba ATÔMICA;22/07/2018;Domingo;1;14:16;88166;14825;46;780
324;SHAZAM TRAILER | O ADÃO NEGRO JÁ ESTÁ NA ÁREA? - Jujuba ATÔMICA;23/07/2018;Segunda-Feira;1;08:38;232086;22572;207;750
325;GODZILLA 2 TRAILER | CENAS ANALISADAS - HISTÓRIA - Jujuba ATÔMICA;26/07/2018;Quinta-Feira;3;11:56;178416;17376;113;1323
326;CALAMIDADE | LIVRO 3 DA SÉRIE DOS EXECUTORES - BRANDON SANDERSON - Jujuba ATÔMICA;28/07/2018;Sábado;2;08:25;18953;3132;10;161
327;MIXTURE BOX JULHO 2018 | CAIXA 22 - ARCADE - Jujuba ATÔMICA;30/07/2018;Segunda-Feira;2;03:42;20075;3610;17;159
328;VENOM TRAILER 2 | ORIGEM DO SIMBIONTE RIOT - CENAS ANALISADAS - Jujuba ATÔMICA;01/08/2018;Quarta-Feira;2;12:30;116364;17677;77;541
329;RÉQUIEM - CAVALEIRO VAMPIRO - Jujuba ATÔMICA;06/08/2018;Segunda-Feira;5;10:09;31290;6076;30;186
330;SUPERGIRL (FILME) | 5 POSSÍVEIS HISTÓRIAS - Jujuba ATÔMICA;09/08/2018;Quinta-Feira;3;09:07;35160;6425;26;279
331;CAPITÃ MARVEL EM GUERRA INFINITA | AQUILO É MESMO A ROUPA DELA? - Jujuba ATÔMICA;13/08/2018;Segunda-Feira;4;06:00;109503;19693;132;629
332;A SONY DEVERIA TER O SEU PRÓPRIO HOMEM-ARANHA? - Jujuba ATÔMICA;15/08/2018;Quarta-Feira;2;08:31;69114;13098;73;944
333;OKKO | O CICLO DA ÁGUA (QUADRINHO) - Jujuba ATÔMICA;17/08/2018;Sexta-Feira;2;08:16;18735;3723;13;129
334;VENOM | QUEM É O DEUS DOS SIMBIONTES? (KNULL ORIGEM) - Jujuba ATÔMICA;21/08/2018;Terça-Feira;4;09:58;368607;45465;249;842
335;QUANDO OS X-MEN VÃO ENTRAR NOS FILMES DA MARVEL? - Jujuba ATÔMICA;23/08/2018;Quinta-Feira;2;07:25;86000;16740;57;723
336;LANTERNAS ULTRAVIOLETA | A NOVA TROPA DE LANTERNAS DO UNIVERSO DC - Jujuba ATÔMICA;25/08/2018;Sábado;2;10:32;296382;40411;245;971
337;NERD LOOT 35 & ANIME LOOT 13 UNBOXING - Jujuba ATÔMICA;28/08/2018;Terça-Feira;3;09:35;39468;6552;29;478
338;QUADRINHOS PIPOCA E NANQUIM - Jujuba ATÔMICA;30/08/2018;Quinta-Feira;2;12:26;15605;3216;13;100
339;LANTERNA VERDE | TOM CRUISE SERIA UMA BOA IDEIA? - Jujuba ATÔMICA;01/09/2018;Sábado;2;09:36;58261;12856;42;498
340;PREDADOR 2018 | O QUE PODEMOS ESPERAR? - Jujuba ATÔMICA;04/09/2018;Terça-Feira;3;09:34;64223;10991;41;355
341;CAPITÃ MARVEL FILME | NOVAS IMAGENS - NOVAS TEORIAS - Jujuba ATÔMICA;06/09/2018;Quinta-Feira;2;13:38;131732;19428;85;519
342;GEEK LOVE | DARKSIDE BOOKS - Jujuba ATÔMICA;10/09/2018;Segunda-Feira;4;12:27;20617;3578;18;123
343;SUPERMAN - HENRY CAVILL FOI DEMITIDO OU NÃO? - Jujuba ATÔMICA;12/09/2018;Quarta-Feira;2;07:15;94936;16148;73;1246
344;PREDADOR 2018 FILME | REVIEW SEM SPOILERS - Jujuba ATÔMICA;14/09/2018;Sexta-Feira;2;09:34;61156;9766;87;461
345;ATIRANDO NO PREDADOR (AIRSOFT) - Jujuba ATÔMICA;15/09/2018;Sábado;1;00:58;18749;3477;31;137
346;NERD LOOT 36 & ANIME LOOT 14 - Jujuba ATÔMICA;17/09/2018;Segunda-Feira;2;05:24;24297;4450;14;344
347;CAPITÃ MARVEL TRAILER | REVIEW ANÁLISE - UMA ORIGEM DIFERENTE - Jujuba ATÔMICA;19/09/2018;Quarta-Feira;2;15:12;116738;21259;77;1466
348;FUNKUBO 10 - VINGADORES GUERRA INFINITA - Jujuba ATÔMICA;20/09/2018;Quinta-Feira;1;04:42;20993;4038;17;96
349;STARFORCE ORIGEM | CAPITÃ MARVEL FILME - Jujuba ATÔMICA;21/09/2018;Sexta-Feira;1;13:03;71324;9435;45;225
350;MIXTURE BOX AGOSTO 2018 | CAIXA 23 - JURASSIC - Jujuba ATÔMICA;24/09/2018;Segunda-Feira;3;07:01;21475;4124;26;193
351;BUMBLEBEE TRAILER 2 | OPTIMUS PRIME, SOUNDWAVE E SHOCKWAVE G1 - Jujuba ATÔMICA;26/09/2018;Quarta-Feira;2;11:51;111288;15432;77;720
352;STAR WARS - O FIM DO IMPÉRIO - TRILOGIA AFTERMATH - Jujuba ATÔMICA;28/09/2018;Sexta-Feira;2;15:58;26299;4177;24;183
353;X-MEN FÊNIX NEGRA TRAILER 1 | DETALHES QUE VOCÊ NÃO VIU - Jujuba ATÔMICA;30/09/2018;Domingo;2;13:42;101903;11653;58;509
354;KONUNGAR - A GUERRA DOS REIS | EDITORA MYTHOS - Jujuba ATÔMICA;03/10/2018;Quarta-Feira;3;06:36;17152;3222;12;67
355;VENOM 2018 | SEM SPOILERS - Jujuba ATÔMICA;04/10/2018;Quinta-Feira;1;12:11;115781;20153;161;1022
356;AQUAMAN TRAILER 2 - DETALHES QUE VOCÊ NÃO VIU - Jujuba ATÔMICA;08/10/2018;Segunda-Feira;4;17:00;74202;14071;41;551
357;JAMES GUNN NA DC - O QUE ISSO SIGNIFICA? - Jujuba ATÔMICA;10/10/2018;Quarta-Feira;2;08:38;57227;11372;48;776
358;THE FLASH | TEMP 05 - EP 01 | QUEM É O VILÃO E O QUE É A CRISE - Jujuba ATÔMICA;13/10/2018;Sábado;3;18:04;51410;8206;38;372
359;VENOM | CENA PÓS-CRÉDITOS EXPLICADA | O QUE ESPERAR DA SEQUÊNCIA? - Jujuba ATÔMICA;15/10/2018;Segunda-Feira;2;09:41;66444;10418;71;436
360;NERD LOOT 37 & ANIME LOOT 15 | UNBOXING OUTUBRO 2018 - Jujuba ATÔMICA;18/10/2018;Quinta-Feira;3;07:55;21474;4136;8;144
361;THE FLASH | TEMP05 - EP02 | S5E02 | 5x02 - Jujuba ATÔMICA;18/10/2018;Quinta-Feira;0;08:57;25026;4520;8;237
362;MARVEL vs DC - A HISTÓRIA DEFINITIVA - Jujuba ATÔMICA;22/10/2018;Segunda-Feira;4;17:27;69568;9799;32;610
363;DEMOLIDOR - TEMPORADA 3 REVIEW (COM SPOILERS) | CENA FINAL EXPLICADA - Jujuba ATÔMICA;24/10/2018;Quarta-Feira;2;11:05;50646;10085;32;1583
364;THE FLASH | EP. 03 TEMP. 05 | S5E03 | 5x03- Jujuba ATÔMICA;25/10/2018;Quinta-Feira;1;08:32;23362;4334;16;243
365;VINGADORES 4 - O TÍTULO DO FILME TEM A VER COM A GAVIÃ ARQUEIRA? - Jujuba ATÔMICA;30/10/2018;Terça-Feira;5;13:37;101922;14602;54;587
366;4 QUADRINHOS DA EDITORA MYTHOS - Jujuba ATÔMICA;31/10/2018;Quarta-Feira;1;10:44;12663;2477;3;73
367;THE FLASH | EP. 04 TEMP. 05 | S5E04 | 5x04- Jujuba ATÔMICA;01/11/2018;Quinta-Feira;1;09:07;22524;3910;15;211
368;BOHEMIAN RHAPSODY - POR QUE VOCÊ PRECISA ASSISTIR O FILME DO QUEEN? - Jujuba ATÔMICA;02/11/2018;Sexta-Feira;1;09:44;41981;7278;36;314
369;MERCENÁRIO ORIGEM | DEMOLIDOR NETFLIX - Jujuba ATÔMICA;06/11/2018;Terça-Feira;4;11:00;47931;7709;25;190
370;VINGADORES 4 - QUE ARMADURA É ESSA? - Jujuba ATÔMICA;08/11/2018;Quinta-Feira;2;08:12;79356;12740;35;386
371;ADEUS, STAN LEE... - Jujuba ATÔMICA;13/11/2018;Terça-Feira;5;08:08;86319;18707;43;1876
372;THE FLASH | EP.05 TEMP.05 | S5E05 | 5x05 - Jujuba ATÔMICA;15/11/2018;Quinta-Feira;2;09:24;19775;3565;13;192
373;O ANEL DO NIBELUNGO - QUADRINHO | PIPOCA E NANQUIM - Jujuba ATÔMICA;19/11/2018;Segunda-Feira;4;06:49;15563;3248;19;108
374;AQUAMAN TRAILER FINAL | DETALHES E CURIOSIDADES - Jujuba ATÔMICA;21/11/2018;Quarta-Feira;2;11:19;54443;8227;29;264
375;A ORIGEM DOS SKRULLS | CAPITÃ MARVEL;22/11/2018;Quinta-Feira;1;12:47;83609;10524;47;229
376;THE FLASH | EP.06 TEMP.05 | S5E06 | 5x06 - Jujuba ATÔMICA;26/11/2018;Segunda-Feira;4;09:42;18372;3288;18;112
377;MIXTURE BOX 24 - NOVEMBRO 2018 | MANOPLA DO INFINITO - Jujuba ATÔMICA;27/11/2018;Terça-Feira;1;03:19;24760;4283;22;131
378;THE FLASH | EP.07 TEMP.05 | S5E07 | 5x07- Jujuba ATÔMICA;30/11/2018;Sexta-Feira;3;05:45;18338;3097;19;166
379;NERD LOOT & ANIME LOOT | UNBOXING NOVEMBRO 2018- Jujuba ATÔMICA;03/12/2018;Segunda-Feira;3;07:42;21570;4102;20;122
380;CAPITÃ MARVEL TRAILER 2 - DETALHES | REVIEW | ANÁLISE - Jujuba ATÔMICA;05/12/2018;Quarta-Feira;2;17:10;103205;12984;51;665
